confirmed_start,early_start,calendar_days_earlier
2018-11-13,2018-11-13,0
2018-12-06,2018-11-13,23
2018-12-18,2018-11-13,35
2019-05-23,2019-05-23,0
2020-02-24,2020-02-24,0
2020-04-27,2020-02-24,63
2020-05-15,2020-02-24,81
2020-06-23,2020-02-24,120
2025-03-28,2025-03-27,1
