start,peak_date,peak_bps,calm_date,trailing_median_at_start
2018-11-13,2019-01-03,544.0,2019-02-05,348.0
2019-05-23,2019-06-03,470.0,2019-06-04,378.5
2020-02-24,2020-03-23,1087.0,2020-11-05,399.0
2020-04-21,2020-04-24,803.0,2020-11-04,404.5
2020-05-14,2020-05-15,778.0,2020-11-04,407.0
2020-06-11,2020-06-11,640.0,2020-11-04,408.0
2020-06-19,2020-06-29,652.0,2020-11-04,409.0
2020-08-14,2020-08-17,529.0,2020-08-25,435.0
2025-03-27,2025-04-07,461.0,2025-04-23,309.0
