date,hy_oas_bps,num_breached,confirmed,detail,sp500_close
2018-01-02,355.0,0.0,False,,2695.81005859375
2018-01-03,348.0,0.0,False,,2713.06005859375
2018-01-04,340.0,0.0,False,,2723.989990234375
2018-01-05,336.0,0.0,False,,2743.14990234375
2018-01-08,335.0,0.0,False,,2747.7099609375
2018-01-09,333.0,0.0,False,,2751.2900390625
2018-01-10,342.0,0.0,False,,2748.22998046875
2018-01-11,340.0,0.0,False,,2767.56005859375
2018-01-12,337.0,0.0,False,,2786.239990234375
2018-01-15,335.0,0.0,False,,
2018-01-16,334.0,0.0,False,,2776.419921875
2018-01-17,334.0,0.0,False,,2802.56005859375
2018-01-18,335.0,0.0,False,,2798.030029296875
2018-01-19,335.0,0.0,False,,2810.300048828125
2018-01-22,332.0,0.0,False,,2832.969970703125
2018-01-23,331.0,0.0,False,,2839.1298828125
2018-01-24,328.0,0.0,False,,2837.5400390625
2018-01-25,328.0,0.0,False,,2839.25
2018-01-26,323.0,0.0,False,,2872.8701171875
2018-01-29,326.0,0.0,False,,2853.530029296875
2018-01-30,333.0,0.0,False,,2822.429931640625
2018-01-31,329.0,0.0,False,,2823.81005859375
2018-02-01,329.0,0.0,False,,2821.97998046875
2018-02-02,336.0,0.0,False,,2762.1298828125
2018-02-05,348.0,1.0,False,5d:+22bps,2648.93994140625
2018-02-06,360.0,2.0,True,"5d:+27bps, 10d:+29bps",2695.139892578125
2018-02-07,346.0,1.0,False,5d:+17bps,2681.659912109375
2018-02-08,359.0,2.0,True,"5d:+30bps, 10d:+31bps",2581.0
2018-02-09,382.0,3.0,True,"5d:+46bps, 10d:+59bps, 20d:+45bps",2619.550048828125
2018-02-12,371.0,2.0,True,"5d:+23bps, 10d:+45bps",2656.0
2018-02-13,378.0,3.0,True,"5d:+18bps, 10d:+45bps, 20d:+44bps",2662.93994140625
2018-02-14,369.0,2.0,True,"5d:+23bps, 10d:+40bps",2698.6298828125
2018-02-15,357.0,1.0,False,10d:+28bps,2731.199951171875
2018-02-16,350.0,0.0,False,,2732.219970703125
2018-02-19,350.0,0.0,False,,
2018-02-20,348.0,0.0,False,,2716.260009765625
2018-02-21,346.0,0.0,False,,2701.330078125
2018-02-22,353.0,0.0,False,,2703.9599609375
2018-02-23,358.0,0.0,False,,2747.300048828125
2018-02-26,350.0,0.0,False,,2779.60009765625
2018-02-27,347.0,0.0,False,,2744.280029296875
2018-02-28,347.0,0.0,False,,2713.830078125
2018-03-01,359.0,0.0,False,,2677.669921875
2018-03-02,365.0,0.0,False,,2691.25
2018-03-05,359.0,0.0,False,,2720.93994140625
2018-03-06,353.0,0.0,False,,2728.1201171875
2018-03-07,356.0,0.0,False,,2726.800048828125
2018-03-08,356.0,0.0,False,,2738.969970703125
2018-03-09,353.0,0.0,False,,2786.570068359375
2018-03-12,355.0,0.0,False,,2783.02001953125
2018-03-13,358.0,0.0,False,,2765.31005859375
2018-03-14,362.0,0.0,False,,2749.47998046875
2018-03-15,362.0,0.0,False,,2747.330078125
2018-03-16,360.0,0.0,False,,2752.010009765625
2018-03-19,365.0,0.0,False,,2712.919921875
2018-03-20,362.0,0.0,False,,2716.93994140625
2018-03-21,360.0,0.0,False,,2711.929931640625
2018-03-22,370.0,0.0,False,,2643.68994140625
2018-03-23,374.0,0.0,False,,2588.260009765625
2018-03-26,373.0,0.0,False,,2658.550048828125
2018-03-27,375.0,0.0,False,,2612.6201171875
2018-03-28,377.0,1.0,False,5d:+17bps,2605.0
2018-03-29,379.0,0.0,False,,2640.8701171875
2018-03-31,372.0,0.0,False,,
2018-04-02,377.0,0.0,False,,2581.8798828125
2018-04-03,371.0,0.0,False,,2614.449951171875
2018-04-04,371.0,0.0,False,,2644.68994140625
2018-04-05,359.0,0.0,False,,2662.840087890625
2018-04-06,364.0,0.0,False,,2604.469970703125
2018-04-09,361.0,0.0,False,,2613.159912109375
2018-04-10,352.0,0.0,False,,2656.8701171875
2018-04-11,350.0,0.0,False,,2642.18994140625
2018-04-12,342.0,0.0,False,,2663.989990234375
2018-04-13,338.0,0.0,False,,2656.300048828125
2018-04-16,333.0,0.0,False,,2677.840087890625
2018-04-17,329.0,0.0,False,,2706.389892578125
2018-04-18,324.0,0.0,False,,2708.639892578125
2018-04-19,333.0,0.0,False,,2693.1298828125
2018-04-20,333.0,0.0,False,,2670.139892578125
2018-04-23,336.0,0.0,False,,2670.2900390625
2018-04-24,341.0,0.0,False,,2634.56005859375
2018-04-25,347.0,1.0,False,5d:+23bps,2639.39990234375
2018-04-26,343.0,0.0,False,,2666.93994140625
2018-04-27,344.0,0.0,False,,2669.909912109375
2018-04-30,346.0,0.0,False,,2648.050048828125
2018-05-01,347.0,0.0,False,,2654.800048828125
2018-05-02,345.0,0.0,False,,2635.669921875
2018-05-03,350.0,0.0,False,,2629.72998046875
2018-05-04,349.0,0.0,False,,2663.419921875
2018-05-07,346.0,0.0,False,,2672.6298828125
2018-05-08,346.0,0.0,False,,2671.919921875
2018-05-09,343.0,0.0,False,,2697.7900390625
2018-05-10,341.0,0.0,False,,2723.070068359375
2018-05-11,340.0,0.0,False,,2727.719970703125
2018-05-14,337.0,0.0,False,,2730.1298828125
2018-05-15,336.0,0.0,False,,2711.449951171875
2018-05-16,337.0,0.0,False,,2722.4599609375
2018-05-17,336.0,0.0,False,,2720.1298828125
2018-05-18,341.0,0.0,False,,2712.969970703125
2018-05-21,340.0,0.0,False,,2733.010009765625
2018-05-22,339.0,0.0,False,,2724.43994140625
2018-05-23,348.0,0.0,False,,2733.2900390625
2018-05-24,349.0,0.0,False,,2727.760009765625
2018-05-25,353.0,0.0,False,,2721.330078125
2018-05-28,353.0,0.0,False,,
2018-05-29,375.0,2.0,True,"5d:+36bps, 10d:+39bps",2689.860107421875
2018-05-30,364.0,2.0,True,"5d:+16bps, 10d:+27bps",2724.010009765625
2018-05-31,363.0,1.0,False,10d:+27bps,2705.27001953125
2018-06-01,355.0,0.0,False,,2734.6201171875
2018-06-04,349.0,0.0,False,,2746.8701171875
2018-06-05,350.0,0.0,False,,2748.800048828125
2018-06-06,344.0,0.0,False,,2772.35009765625
2018-06-07,344.0,0.0,False,,2770.3701171875
2018-06-08,345.0,0.0,False,,2779.030029296875
2018-06-11,339.0,0.0,False,,2782.0
2018-06-12,338.0,0.0,False,,2786.85009765625
2018-06-13,333.0,0.0,False,,2775.6298828125
2018-06-14,331.0,0.0,False,,2782.489990234375
2018-06-15,333.0,0.0,False,,2779.659912109375
2018-06-18,334.0,0.0,False,,2773.75
2018-06-19,340.0,0.0,False,,2762.590087890625
2018-06-20,334.0,0.0,False,,2767.320068359375
2018-06-21,339.0,0.0,False,,2749.760009765625
2018-06-22,339.0,0.0,False,,2754.8798828125
2018-06-25,347.0,0.0,False,,2717.070068359375
2018-06-26,348.0,0.0,False,,2723.06005859375
2018-06-27,356.0,1.0,False,5d:+22bps,2699.6298828125
2018-06-28,364.0,2.0,True,"5d:+25bps, 10d:+33bps",2716.31005859375
2018-06-29,361.0,2.0,True,"5d:+22bps, 10d:+28bps",2718.3701171875
2018-06-30,371.0,2.0,True,"5d:+24bps, 10d:+37bps",
2018-07-02,378.0,2.0,True,"5d:+30bps, 10d:+38bps",2726.7099609375
2018-07-03,377.0,2.0,True,"5d:+21bps, 10d:+43bps",2713.219970703125
2018-07-04,377.0,1.0,False,10d:+38bps,
2018-07-05,374.0,1.0,False,10d:+35bps,2736.610107421875
2018-07-06,374.0,1.0,False,10d:+27bps,2759.820068359375
2018-07-09,365.0,0.0,False,,2784.169921875
2018-07-10,359.0,0.0,False,,2793.840087890625
2018-07-11,366.0,0.0,False,,2774.02001953125
2018-07-12,361.0,0.0,False,,2798.2900390625
2018-07-13,362.0,0.0,False,,2801.31005859375
2018-07-16,359.0,0.0,False,,2798.429931640625
2018-07-17,358.0,0.0,False,,2809.550048828125
2018-07-18,356.0,0.0,False,,2815.6201171875
2018-07-19,359.0,0.0,False,,2804.489990234375
2018-07-20,355.0,0.0,False,,2801.830078125
2018-07-23,350.0,0.0,False,,2806.97998046875
2018-07-24,347.0,0.0,False,,2820.39990234375
2018-07-25,348.0,0.0,False,,2846.070068359375
2018-07-26,342.0,0.0,False,,2837.43994140625
2018-07-27,342.0,0.0,False,,2818.820068359375
2018-07-30,343.0,0.0,False,,2802.60009765625
2018-07-31,346.0,0.0,False,,2816.2900390625
2018-08-01,343.0,0.0,False,,2813.360107421875
2018-08-02,343.0,0.0,False,,2827.219970703125
2018-08-03,343.0,0.0,False,,2840.35009765625
2018-08-06,343.0,0.0,False,,2850.39990234375
2018-08-07,335.0,0.0,False,,2858.449951171875
2018-08-08,337.0,0.0,False,,2857.699951171875
2018-08-09,338.0,0.0,False,,2853.580078125
2018-08-10,350.0,0.0,False,,2833.280029296875
2018-08-13,352.0,0.0,False,,2821.929931640625
2018-08-14,348.0,0.0,False,,2839.9599609375
2018-08-15,355.0,1.0,False,5d:+18bps,2818.3701171875
2018-08-16,349.0,0.0,False,,2840.68994140625
2018-08-17,349.0,0.0,False,,2850.1298828125
2018-08-20,352.0,0.0,False,,2857.050048828125
2018-08-21,348.0,0.0,False,,2862.9599609375
2018-08-22,348.0,0.0,False,,2861.820068359375
2018-08-23,347.0,0.0,False,,2856.97998046875
2018-08-24,346.0,0.0,False,,2874.68994140625
2018-08-27,343.0,0.0,False,,2896.739990234375
2018-08-28,340.0,0.0,False,,2897.52001953125
2018-08-29,339.0,0.0,False,,2914.0400390625
2018-08-30,344.0,0.0,False,,2901.1298828125
2018-08-31,349.0,0.0,False,,2901.52001953125
2018-09-03,349.0,0.0,False,,
2018-09-04,346.0,0.0,False,,2896.719970703125
2018-09-05,349.0,0.0,False,,2888.60009765625
2018-09-06,352.0,0.0,False,,2878.050048828125
2018-09-07,348.0,0.0,False,,2871.679931640625
2018-09-10,346.0,0.0,False,,2877.1298828125
2018-09-11,340.0,0.0,False,,2887.889892578125
2018-09-12,338.0,0.0,False,,2888.919921875
2018-09-13,335.0,0.0,False,,2904.179931640625
2018-09-14,329.0,0.0,False,,2904.97998046875
2018-09-17,329.0,0.0,False,,2888.800048828125
2018-09-18,324.0,0.0,False,,2904.31005859375
2018-09-19,324.0,0.0,False,,2907.949951171875
2018-09-20,325.0,0.0,False,,2930.75
2018-09-21,325.0,0.0,False,,2929.669921875
2018-09-24,328.0,0.0,False,,2919.3701171875
2018-09-25,326.0,0.0,False,,2915.56005859375
2018-09-26,327.0,0.0,False,,2905.969970703125
2018-09-27,325.0,0.0,False,,2914.0
2018-09-28,324.0,0.0,False,,2913.97998046875
2018-09-30,328.0,0.0,False,,
2018-10-01,322.0,0.0,False,,2924.590087890625
2018-10-02,322.0,0.0,False,,2923.429931640625
2018-10-03,316.0,0.0,False,,2925.510009765625
2018-10-04,329.0,0.0,False,,2901.610107421875
2018-10-05,332.0,0.0,False,,2885.570068359375
2018-10-08,332.0,0.0,False,,2884.429931640625
2018-10-09,341.0,1.0,False,5d:+19bps,2880.340087890625
2018-10-10,351.0,2.0,True,"5d:+35bps, 10d:+26bps",2785.679931640625
2018-10-11,358.0,2.0,True,"5d:+29bps, 10d:+34bps",2728.3701171875
2018-10-12,354.0,2.0,True,"5d:+22bps, 10d:+26bps",2767.1298828125
2018-10-15,349.0,2.0,True,"5d:+17bps, 10d:+27bps",2750.7900390625
2018-10-16,345.0,0.0,False,,2809.919921875
2018-10-17,345.0,1.0,False,10d:+29bps,2809.2099609375
2018-10-18,351.0,0.0,False,,2768.780029296875
2018-10-19,351.0,0.0,False,,2767.780029296875
2018-10-22,352.0,0.0,False,,2755.8798828125
2018-10-23,365.0,1.0,False,5d:+20bps,2740.68994140625
2018-10-24,368.0,2.0,True,"5d:+23bps, 20d:+43bps",2656.10009765625
2018-10-25,372.0,2.0,True,"5d:+21bps, 20d:+48bps",2705.570068359375
2018-10-26,385.0,3.0,True,"5d:+34bps, 10d:+31bps, 20d:+57bps",2658.68994140625
2018-10-29,384.0,3.0,True,"5d:+32bps, 10d:+35bps, 20d:+62bps",2641.25
2018-10-30,389.0,3.0,True,"5d:+24bps, 10d:+44bps, 20d:+67bps",2682.6298828125
2018-10-31,381.0,2.0,True,"10d:+36bps, 20d:+65bps",2711.739990234375
2018-11-01,381.0,2.0,True,"10d:+30bps, 20d:+52bps",2740.3701171875
2018-11-02,372.0,1.0,False,20d:+40bps,2723.06005859375
2018-11-05,372.0,1.0,False,20d:+40bps,2738.31005859375
2018-11-06,368.0,0.0,False,,2755.449951171875
2018-11-07,360.0,0.0,False,,2813.889892578125
2018-11-08,357.0,0.0,False,,2806.830078125
2018-11-09,371.0,0.0,False,,2781.010009765625
2018-11-12,371.0,0.0,False,,2726.219970703125
2018-11-13,389.0,2.0,True,"5d:+21bps, 20d:+44bps",2722.179931640625
2018-11-14,399.0,2.0,True,"5d:+39bps, 20d:+54bps",2701.580078125
2018-11-15,411.00000000000006,3.0,True,"5d:+54bps, 10d:+30bps, 20d:+60bps",2730.199951171875
2018-11-16,418.0,3.0,True,"5d:+47bps, 10d:+46bps, 20d:+67bps",2736.27001953125
2018-11-19,425.0,3.0,True,"5d:+54bps, 10d:+53bps, 20d:+73bps",2690.72998046875
2018-11-20,433.0,3.0,True,"5d:+44bps, 10d:+65bps, 20d:+68bps",2641.889892578125
2018-11-21,424.0,3.0,True,"5d:+25bps, 10d:+64bps, 20d:+56bps",2649.929931640625
2018-11-22,425.0,2.0,True,"10d:+68bps, 20d:+53bps",
2018-11-23,429.0,2.0,True,"10d:+58bps, 20d:+44bps",2632.56005859375
2018-11-26,426.0,2.0,True,"10d:+55bps, 20d:+42bps",2673.449951171875
2018-11-27,430.99999999999994,2.0,True,"10d:+42bps, 20d:+42bps",2682.169921875
2018-11-28,425.0,2.0,True,"10d:+26bps, 20d:+44bps",2743.7900390625
2018-11-29,422.0,1.0,False,20d:+41bps,2737.800048828125
2018-11-30,429.0,1.0,False,20d:+57bps,2760.169921875
2018-12-03,420.0,1.0,False,20d:+48bps,2790.3701171875
2018-12-04,429.0,1.0,False,20d:+61bps,2700.06005859375
2018-12-05,429.0,1.0,False,20d:+69bps,
2018-12-06,450.0,3.0,True,"5d:+28bps, 10d:+25bps, 20d:+93bps",2695.949951171875
2018-12-07,450.0,2.0,True,"5d:+21bps, 20d:+79bps",2633.080078125
2018-12-10,455.99999999999994,3.0,True,"5d:+36bps, 10d:+30bps, 20d:+85bps",2637.719970703125
2018-12-11,448.00000000000006,2.0,True,"5d:+19bps, 20d:+59bps",2636.780029296875
2018-12-12,440.00000000000006,1.0,False,20d:+41bps,2651.070068359375
2018-12-13,438.99999999999994,0.0,False,,2650.5400390625
2018-12-14,446.0,0.0,False,,2599.949951171875
2018-12-17,458.0,1.0,False,10d:+38bps,2545.93994140625
2018-12-18,472.0,2.0,True,"5d:+24bps, 10d:+43bps",2546.159912109375
2018-12-19,484.0,3.0,True,"5d:+44bps, 10d:+55bps, 20d:+60bps",2506.9599609375
2018-12-20,511.00000000000006,3.0,True,"5d:+72bps, 10d:+61bps, 20d:+86bps",2467.419921875
2018-12-21,522.0,3.0,True,"5d:+76bps, 10d:+72bps, 20d:+93bps",2416.6201171875
2018-12-24,535.0,3.0,True,"5d:+77bps, 10d:+79bps, 20d:+109bps",2351.10009765625
2018-12-26,537.0,3.0,True,"5d:+65bps, 10d:+89bps, 20d:+106bps",2467.699951171875
2018-12-27,538.0,3.0,True,"5d:+54bps, 10d:+98bps, 20d:+113bps",2488.830078125
2018-12-28,530.0,3.0,True,"5d:+19bps, 10d:+91bps, 20d:+108bps",2485.739990234375
2018-12-31,533.0,2.0,True,"10d:+87bps, 20d:+104bps",2506.85009765625
2019-01-02,535.0,2.0,True,"10d:+77bps, 20d:+115bps",2510.030029296875
2019-01-03,544.0,2.0,True,"10d:+72bps, 20d:+115bps",2447.889892578125
2019-01-04,505.0,1.0,False,20d:+76bps,2531.93994140625
2019-01-07,483.0,0.0,False,,2549.68994140625
2019-01-08,465.00000000000006,0.0,False,,2574.409912109375
2019-01-09,451.99999999999994,0.0,False,,2584.9599609375
2019-01-10,454.0,0.0,False,,2596.639892578125
2019-01-11,455.0,0.0,False,,2596.260009765625
2019-01-14,459.99999999999994,0.0,False,,2582.610107421875
2019-01-15,455.0,0.0,False,,2610.300048828125
2019-01-16,444.00000000000006,0.0,False,,2616.10009765625
2019-01-17,440.00000000000006,0.0,False,,2635.9599609375
2019-01-18,426.99999999999994,0.0,False,,2670.7099609375
2019-01-21,426.99999999999994,0.0,False,,
2019-01-22,441.0,0.0,False,,2632.89990234375
2019-01-23,438.99999999999994,0.0,False,,2638.699951171875
2019-01-24,445.0,0.0,False,,2642.330078125
2019-01-25,434.0,0.0,False,,2664.760009765625
2019-01-28,441.0,0.0,False,,2643.85009765625
2019-01-29,440.00000000000006,0.0,False,,2640.0
2019-01-30,436.00000000000006,0.0,False,,2681.050048828125
2019-01-31,437.0,0.0,False,,2704.10009765625
2019-02-01,429.0,0.0,False,,2706.530029296875
